2026-02-11 07:55:49 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:56:18 | INFO     | Starting monitoring cycle...
2026-02-11 07:56:18 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:56:18 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:56:19 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:56:19 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:56:19 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:56:19 | INFO     | Monitoring cycle completed
2026-02-11 07:56:19 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:56:48 | INFO     | Starting monitoring cycle...
2026-02-11 07:56:48 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:56:48 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:56:49 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:56:49 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:56:49 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:56:49 | INFO     | Monitoring cycle completed
2026-02-11 07:56:49 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:57:18 | INFO     | Starting monitoring cycle...
2026-02-11 07:57:18 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:57:19 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:57:19 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:57:19 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:57:19 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:57:19 | INFO     | Monitoring cycle completed
2026-02-11 07:57:19 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:57:49 | INFO     | Starting monitoring cycle...
2026-02-11 07:57:49 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:57:49 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:57:49 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:57:49 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:57:49 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:57:49 | INFO     | Monitoring cycle completed
2026-02-11 07:57:49 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:58:19 | INFO     | Starting monitoring cycle...
2026-02-11 07:58:19 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:58:19 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:58:19 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:58:19 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:58:19 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:58:19 | INFO     | Monitoring cycle completed
2026-02-11 07:58:19 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:58:49 | INFO     | Starting monitoring cycle...
2026-02-11 07:58:49 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:58:49 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:58:49 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:58:49 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:58:49 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:58:49 | INFO     | Monitoring cycle completed
2026-02-11 07:58:49 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:59:19 | INFO     | Starting monitoring cycle...
2026-02-11 07:59:19 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:59:19 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:59:19 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:59:19 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:59:19 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:59:19 | INFO     | Monitoring cycle completed
2026-02-11 07:59:19 | DEBUG    | Sleeping for 29.8s...
2026-02-11 07:59:49 | INFO     | Starting monitoring cycle...
2026-02-11 07:59:49 | INFO     | Monitoring 1 user(s)...
2026-02-11 07:59:49 | DEBUG    | Processing user: @jaro3th
2026-02-11 07:59:49 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:59:49 | ERROR    | Failed to fetch tweets for @jaro3th: HTTP 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
2026-02-11 07:59:49 | DEBUG    | No tweets found for @jaro3th
2026-02-11 07:59:49 | INFO     | Monitoring cycle completed
2026-02-11 07:59:49 | DEBUG    | Sleeping for 29.8s...
2026-02-11 08:00:19 | INFO     | Starting monitoring cycle...
2026-02-11 08:00:19 | INFO     | Monitoring 1 user(s)...
2026-02-11 08:00:19 | DEBUG    | Processing user: @jaro3th
2026-02-11 08:00:19 | ERROR    | HTTP error 402: Client error '402 Payment Required' for url 'https://api.twitterapi.io/twitter/user/last_tweets?userName=jaro3th&max_results=20'
For more information check: https://developer.mozilla.org/en-US/docs/Web/HTTP/Status/402
